External code,Vendor,Centre,Dice_BG,Dice_LV,Dice_MYO,Dice_RV,IoU_BG,IoU_LV,IoU_MYO,IoU_RV,HD_BG,HD_LV,HD_MYO,HD_RV
A0S9V9,F,6,0.993999719619751,0.9488676190376282,0.8550633788108826,0.9380488395690918,0.9880710244178772,0.9027099013328552,0.7468215227127075,0.8833258152008057,2.23606797749979,4.242640687119285,5.0,4.898979485566356
A1D0Q7,B,2,0.9729331731796265,0.8885999321937561,0.7271586060523987,0.7626516222953796,0.9472929835319519,0.7995319962501526,0.5712876915931702,0.6163596510887146,9.0,7.0,9.219544457292887,15.524174696260024
A1D9Z7,A,1,0.9594635367393494,0.8085620403289795,0.642261803150177,0.7480874061584473,0.9220854043960571,0.6786438226699829,0.47303804755210876,0.5975556373596191,5.0,33.83784863137726,35.12833614050059,53.9351462406472
A1E9Q1,A,1,0.9889556765556335,0.9452248215675354,0.8245641589164734,0.9167254567146301,0.9781526327133179,0.896138608455658,0.7014964818954468,0.8462540507316589,3.0,5.0,5.385164807134504,10.0
A1K2P5,D,5,0.9879521131515503,0.9122923016548157,0.8188261389732361,0.9347717761993408,0.9761911034584045,0.8387292623519897,0.6932308077812195,0.8775319457054138,4.0,7.0710678118654755,10.295630140987,8.54400374531753
A1O8Z3,B,3,0.9904255270957947,0.956877589225769,0.8346138596534729,0.9424619674682617,0.9810326099395752,0.9173205494880676,0.7161694169044495,0.89118492603302,4.0,3.605551275463989,8.06225774829855,5.0
A2C0I1,F,6,0.9959337115287781,0.9701071977615356,0.9315319657325745,0.9577283263206482,0.9919003844261169,0.941949725151062,0.8718388676643372,0.9188855290412903,4.0,2.8284271247461903,2.23606797749979,5.385164807134504
A2E3W4,C,4,,,,,,,,,,,,
A2H5K9,B,2,0.9787420034408569,0.8546963334083557,0.7740420699119568,0.8588886857032776,0.9583690762519836,0.7462617754936218,0.6313773393630981,0.7526773810386658,4.0,20.024984394500787,21.470910553583888,9.273618495495704
A2L1N6,F,6,0.9953200221061707,0.966689944267273,0.9112293124198914,0.9449226260185242,0.9906836152076721,0.935527503490448,0.8369340896606445,0.8955956101417542,3.1622776601683795,2.23606797749979,3.0,5.0
A2N8V0,F,6,0.9951494932174683,0.9639877676963806,0.8996353149414062,0.950925886631012,0.9903457760810852,0.930479109287262,0.8175792694091797,0.9064429998397827,2.23606797749979,2.8284271247461903,2.23606797749979,3.1622776601683795
