External code,Vendor,Centre,Dice_BG,Dice_LV,Dice_MYO,Dice_RV,IoU_BG,IoU_LV,IoU_MYO,IoU_RV,HD_BG,HD_LV,HD_MYO,HD_RV
A0S9V9,A,1,0.992206335067749,0.9699434041976929,0.8424955010414124,0.9257781505584717,0.9845332503318787,0.9416409134864807,0.7278550267219543,0.8618128299713135,3.1622776601683795,2.8284271247461903,5.385164807134504,24.1039415863879
A1D0Q7,B,2,0.9720902442932129,0.9239321947097778,0.753617525100708,0.8109315037727356,0.9456960558891296,0.858618974685669,0.6046438813209534,0.6819888353347778,9.0,6.708203932499369,9.055385138137417,10.44030650891055
A1D9Z7,A,1,0.9833411574363708,0.922713577747345,0.8640086650848389,0.878124475479126,0.9672282338142395,0.8565165400505066,0.7605767846107483,0.7827289700508118,4.0,4.47213595499958,6.082762530298219,51.94227565288221
A1E9Q1,A,1,0.9940798282623291,0.9697139859199524,0.8919187188148499,0.948846161365509,0.9882292747497559,0.9412084817886353,0.8049217462539673,0.9026710987091064,3.0,3.0,3.605551275463989,8.48528137423857
A1K2P5,D,5,0.982933759689331,0.9206570982933044,0.7898598313331604,0.8722023367881775,0.9664402008056641,0.852979302406311,0.6527011394500732,0.773367702960968,4.0,6.082762530298219,9.9498743710662,16.1245154965971
A1O8Z3,B,3,0.9830784797668457,0.9434130787849426,0.8060302138328552,0.84039306640625,0.9667201042175293,0.8928873538970947,0.6750842928886414,0.7247223854064941,4.242640687119285,5.385164807134504,4.58257569495584,9.38083151964686
A2C0I1,A,1,0.9945411682128906,0.973646879196167,0.9256436824798584,0.945879340171814,0.9891416430473328,0.9486470222473145,0.8615797758102417,0.897316038608551,4.0,2.23606797749979,3.4641016151377544,7.0710678118654755
A2E3W4,C,4,,,,,,,,,,,,
A2H5K9,B,2,0.9486727118492126,0.8004782795906067,0.526222825050354,0.6237598657608032,0.9023571610450745,0.6673312187194824,0.35705724358558655,0.4532347619533539,4.0,12.84523257866513,7.483314773547883,19.1049731745428
A2L1N6,A,1,0.9905748963356018,0.9384725689888,0.8790706396102905,0.9351240396499634,0.9813258647918701,0.8840774893760681,0.7842337489128113,0.8781529664993286,3.0,12.36931687685298,10.488088481701515,8.602325267042627
A2N8V0,A,1,0.9948822855949402,0.96555495262146,0.8914378881454468,0.9517685174942017,0.9898166656494141,0.9334038496017456,0.8041388988494873,0.907975435256958,2.23606797749979,2.0,3.605551275463989,4.123105625617661
A3B7E5,B,2,0.9637324213981628,0.7791500091552734,0.4625761806964874,0.6562456488609314,0.9300034046173096,0.6382029056549072,0.3008774518966675,0.4883672893047333,5.0,12.727922061357855,9.899494936611665,19.44222209522358
A3H1O5,A,1,0.993925929069519,0.9665594696998596,0.8949974775314331,0.9470914006233215,0.9879251718521118,0.9352830648422241,0.809950590133667,0.8995001316070557,2.8284271247461903,3.605551275463989,2.8284271247461903,5.385164807134504
A3H5R1,C,4,0.9704982042312622,0.6403387188911438,0.4119769334793091,0.5892348885536194,0.9426872134208679,0.4709545969963074,0.259427547454834,0.41767042875289917,3.0,14.491376746189438,11.0,20.8806130178211
A3P9V7,D,5,0.9872423410415649,0.9097501635551453,0.7674269080162048,0.7923017144203186,0.9748061299324036,0.8344419598579407,0.6226218342781067,0.656042754650116,3.0,8.54400374531753,10.862780491200215,20.322401432901575
A4A8V9,B,3,0.9829316735267639,0.8864871263504028,0.7478725910186768,0.7941447496414185,0.9664362668991089,0.7961175441741943,0.5972815752029419,0.6585738658905029,3.605551275463989,7.0710678118654755,8.12403840463596,41.79712908801273
A4B5U4,A,1,0.9892300367355347,0.9741162061691284,0.8951027393341064,0.8920226693153381,0.9786896109580994,0.9495385885238647,0.8101230263710022,0.8050910234451294,3.0,2.23606797749979,13.45362404707371,18.411952639521967
A4B9O6,D,5,0.9656612873077393,0.80425626039505,0.6178002953529358,0.7868919372558594,0.933602511882782,0.6725991368293762,0.4469689130783081,0.6486576795578003,4.0,13.96424004376894,8.602325267042627,14.071247279470288
A4J4S4,A,1,0.9923765063285828,0.9726123213768005,0.9022398591041565,0.9255198836326599,0.9848684072494507,0.9466848373413086,0.8218916058540344,0.8613653182983398,3.0,2.23606797749979,2.23606797749979,15.329709716755891
A4K8R4,D,5,0.95953768491745,0.8521933555603027,0.6151804327964783,0.8463373780250549,0.9222224354743958,0.7424537539482117,0.44423148036003113,0.7336090803146362,5.0,6.4031242374328485,12.041594578792296,11.532562594670797
A4R4T0,D,5,0.985771119594574,0.9327583909034729,0.7047077417373657,0.8692094683647156,0.9719414114952087,0.8739898800849915,0.5440530776977539,0.7686741352081299,3.0,5.385164807134504,9.643650760992955,36.11094017053558
A4U9V5,A,1,0.9946823716163635,0.9749423861503601,0.9141935110092163,0.9425679445266724,0.9894209504127502,0.9511098265647888,0.8419488072395325,0.891374409198761,2.8284271247461903,2.0,3.0,4.242640687119285
A5C2D2,B,3,0.9901133179664612,0.9491196870803833,0.8180410861968994,0.9164674282073975,0.9804202318191528,0.9031662940979004,0.6921062469482422,0.8458144068717957,3.7416573867739413,3.1622776601683795,11.445523142259598,7.874007874011811
A5D0G0,B,2,0.9241083264350891,0.6620213389396667,0.41748741269111633,0.15726584196090698,0.8589232563972473,0.4947921633720398,0.2638130187988281,0.08534374833106995,4.0,13.152946437965905,15.0,19.949937343260004
A5E0T8,B,3,0.9648270606994629,0.9283300042152405,0.7421792149543762,0.5872893929481506,0.9320443272590637,0.8662461042404175,0.5900516510009766,0.41571810841560364,4.0,7.14142842854285,5.0,17.029386365926403
A5H1Q2,C,4,0.9812594056129456,0.9456766843795776,0.8224074244499207,0.8770249485969543,0.9632083773612976,0.8969512581825256,0.6983802914619446,0.7809834480285645,4.242640687119285,3.3166247903554,5.744562646538029,9.0
A5P5W0,D,5,0.9547892808914185,0.8044859170913696,0.5295488238334656,0.7114229798316956,0.9134896993637085,0.6729205250740051,0.3601267635822296,0.5520997047424316,7.0,9.055385138137417,12.68857754044952,17.52141546793523
A5Q1W8,D,5,0.9825943112373352,0.9129683375358582,0.7838535308837891,0.8785809278488159,0.9657841324806213,0.8398728370666504,0.6445387601852417,0.7834545969963074,3.7416573867739413,3.1622776601683795,10.677078252031311,14.035668847618199
A6A8H0,D,5,0.9840019941329956,0.9333412647247314,0.7318886518478394,0.8966599702835083,0.9685077667236328,0.8750138878822327,0.5771485567092896,0.812677800655365,4.0,5.0990195135927845,5.744562646538029,8.06225774829855
A6B5G9,A,1,0.9944227933883667,0.9514353275299072,0.8943800330162048,0.9207063913345337,0.9889074563980103,0.9073693156242371,0.8089398741722107,0.8530639410018921,2.23606797749979,3.0,4.358898943540674,4.358898943540674
A6B7Y4,D,5,0.9711934328079224,0.8150840997695923,0.7942019701004028,0.8422694206237793,0.9440000057220459,0.6878834962844849,0.6586525440216064,0.7275176644325256,4.358898943540674,10.04987562112089,10.344080432788601,13.96424004376894
A6D5F9,A,1,0.9921844005584717,0.9770270586013794,0.9113965630531311,0.9487433433532715,0.9844900369644165,0.9550858736038208,0.837216317653656,0.9024849534034729,4.0,1.4142135623730951,9.219544457292887,4.58257569495584
A6J0Y2,B,2,0.8900847434997559,0.42951473593711853,0.08145736902952194,0.028773073107004166,0.8019393682479858,0.2734917104244232,0.0424579419195652,0.014596530236303806,9.0,19.87460691435179,25.019992006393608,39.6232255123179
A6M1Q7,B,2,0.9203687906265259,0.7139886021614075,0.3136685788631439,0.2381463348865509,0.852484405040741,0.5551961660385132,0.18600648641586304,0.13516806066036224,4.0,10.816653826391969,12.165525060596439,36.05551275463989
A7D9L8,A,1,0.9825278520584106,0.9438237547874451,0.8787350654602051,0.9112011194229126,0.9656557440757751,0.8936233520507812,0.7836997509002686,0.836886465549469,8.0,3.605551275463989,6.164414002968976,5.916079783099616
A7E4J0,B,3,0.9796717762947083,0.9466164708137512,0.8045176267623901,0.8788189888000488,0.9601535797119141,0.8986436724662781,0.672964870929718,0.7838333249092102,5.385164807134504,3.605551275463989,9.848857801796104,9.273618495495704
A7F4G2,D,5,0.9505294561386108,0.8675916194915771,0.6445432901382446,0.7119963765144348,0.9057228565216064,0.7661473155021667,0.4755174219608307,0.552790641784668,6.0,13.92838827718412,13.601470508735444,19.026297590440446
A7G0P5,B,2,0.9422154426574707,0.852975070476532,0.6045390367507935,0.5177193284034729,0.8907442092895508,0.7436413168907166,0.4332181513309479,0.3492721617221832,10.0,5.196152422706632,9.219544457292887,18.275666882497067
A7M7P8,A,1,0.9880985021591187,0.9439725875854492,0.8836003541946411,0.9192371964454651,0.9764769077301025,0.8938902616500854,0.7914732098579407,0.850544810295105,4.0,4.58257569495584,8.0,9.1104335791443
A7O4T6,A,1,0.9907209277153015,0.9478785395622253,0.8431949019432068,0.9437272548675537,0.9816124439239502,0.9009212255477905,0.7288997173309326,0.8934503793716431,3.0,2.23606797749979,8.94427190999916,13.038404810405298
A8C5E9,C,4,0.945611834526062,0.11437510699033737,0.02816738188266754,7.528419519076124e-05,0.896834671497345,0.0606563426554203,0.014284874312579632,3.7643516407115385e-05,4.0,19.131126469708992,42.07136793592526,52.478567053607705
A8C9H8,C,4,,,,,,,,,,,,
A8C9U8,B,2,0.9134104251861572,0.7268219590187073,0.35254693031311035,0.49126699566841125,0.8406213521957397,0.5708721876144409,0.21399511396884918,0.3256155848503113,9.0,9.273618495495704,13.92838827718412,13.490737563232042
A8E1F4,B,3,0.985365092754364,0.9438097476959229,0.7919332385063171,0.8773887157440186,0.9711523056030273,0.8935982584953308,0.6555376052856445,0.7815605998039246,6.0,7.54983443527075,5.0,12.328828005937952
A8I1U6,C,4,,,,,,,,,,,,
A9C5P4,B,2,0.9138852953910828,0.7254080772399902,0.2772861421108246,0.30430153012275696,0.8414260745048523,0.5691296458244324,0.1609589010477066,0.17945496737957,8.0,14.352700094407323,17.11724276862369,28.0178514522438
A9E3G9,B,3,0.9834800362586975,0.9228970408439636,0.7103738784790039,0.8650849461555481,0.9674970507621765,0.85683274269104,0.5508370995521545,0.7622464299201965,3.1622776601683795,6.48074069840786,4.242640687119285,22.825424421026653
A9F3T5,C,4,0.9674411416053772,0.622767448425293,0.5359567403793335,0.7370006442070007,0.9369356632232666,0.45218756794929504,0.36607983708381653,0.5835320949554443,4.0,11.575836902790225,19.87460691435179,20.615528128088304
A9J5Q7,B,3,0.985177755355835,0.9221434593200684,0.7483553290367126,0.8681802749633789,0.9707884788513184,0.855534553527832,0.5978975892066956,0.7670658230781555,4.0,6.0,5.916079783099616,8.48528137423857
A9J8W7,B,2,0.9561497569084167,0.7506113052368164,0.5296167135238647,0.3585081100463867,0.9159836769104004,0.6007828712463379,0.3601895868778229,0.21840383112430573,4.0,9.433981132056603,7.810249675906654,21.633307652783937
A9L7Y7,C,4,0.9492257237434387,0.5791172981262207,0.3771311938762665,0.8150244951248169,0.9033583998680115,0.40757569670677185,0.23238550126552582,0.6877986192703247,8.06225774829855,15.362291495737216,24.20743687382041,23.430749027719962
B0H7V0,A,1,0.991134524345398,0.9727745652198792,0.9175598621368408,0.8993037939071655,0.9824249148368835,0.9469922184944153,0.8476772904396057,0.8170318007469177,4.47213595499958,3.605551275463989,3.605551275463989,5.0
B0I2Z0,A,1,0.9942591190338135,0.9628962874412537,0.9015325307846069,0.9381794929504395,0.9885837435722351,0.928447425365448,0.8207184076309204,0.8835575580596924,3.1622776601683795,4.123105625617661,3.605551275463989,6.4031242374328485
B0L3Y2,C,4,0.9812742471694946,0.853757917881012,0.6760092377662659,0.8376588821411133,0.9632368683815002,0.7448320984840393,0.5105845332145691,0.7206652760505676,4.0,9.9498743710662,7.280109889280518,28.75760768909681
B0N3W8,B,2,0.9390254616737366,0.7152771353721619,0.26442086696624756,0.6549520492553711,0.8850594162940979,0.5567559599876404,0.15235310792922974,0.4869358539581299,6.0,8.06225774829855,12.529964086141668,18.027756377319946
B1G9J3,B,2,0.9709538817405701,0.8975923657417297,0.7727141976356506,0.721790611743927,0.9435474872589111,0.8142109513282776,0.6296122670173645,0.5646889209747314,4.0,10.816653826391969,5.0,14.317821063276353
B1K7U1,C,4,,,,,,,,,,,,
B2C2Z7,A,1,0.9951876997947693,0.9709752202033997,0.8988207578659058,0.951143741607666,0.9904215335845947,0.9435878396034241,0.8162347674369812,0.9068389534950256,4.0,3.1622776601683795,7.3484692283495345,6.4031242374328485
B2D9M2,A,1,0.9899484515190125,0.9562137126922607,0.915716290473938,0.9157957434654236,0.9800969958305359,0.9161010980606079,0.8445356488227844,0.8446708917617798,7.615773105863909,7.0,3.1622776601683795,21.540659228538015
B2D9O2,B,2,0.9447446465492249,0.6971944570541382,0.29613786935806274,0.06421347707509995,0.8952758312225342,0.5351485013961792,0.1738038957118988,0.03317177668213844,7.0,14.52583904633395,13.490737563232042,56.72741841473134
B2F4K5,B,2,0.9477676749229431,0.7277045249938965,0.42115768790245056,0.5351668000221252,0.9007209539413452,0.5719618797302246,0.2667509615421295,0.3653431534767151,4.0,13.74772708486752,9.0,17.05872210923198
B2G5R2,A,1,0.9881653189659119,0.9591164588928223,0.8861395716667175,0.9167340397834778,0.9766075015068054,0.9214445352554321,0.7955571413040161,0.8462686538696289,4.0,4.242640687119285,5.0,5.0990195135927845
B2L0L2,C,4,0.9635624289512634,0.8619700074195862,0.6696428656578064,0.7708043456077576,0.9296868443489075,0.7574228644371033,0.5033556818962097,0.6270802617073059,5.0,4.58257569495584,9.9498743710662,15.132745950421556
B3D0N1,B,3,0.9889813661575317,0.9435266256332397,0.8008972406387329,0.9208477139472961,0.9782029390335083,0.8930907249450684,0.6679137349128723,0.8533065915107727,4.123105625617661,3.1622776601683795,9.0,6.324555320336759
B3E2W8,D,5,0.949675440788269,0.794416606426239,0.46701255440711975,0.6684634685516357,0.9041733741760254,0.6589478254318237,0.3046421408653259,0.5020241737365723,4.0,8.602325267042627,13.74772708486752,34.0147027033899
B3F0V9,A,1,0.9908062219619751,0.9719407558441162,0.852314293384552,0.9085605144500732,0.981779932975769,0.9454131722450256,0.7426373958587646,0.8324424028396606,3.0,2.23606797749979,4.242640687119285,11.0
B3O1S0,A,1,0.9905086755752563,0.938095211982727,0.8815171718597412,0.9554124474525452,0.981195867061615,0.8834080696105957,0.7881365418434143,0.9146313071250916,4.58257569495584,6.557438524302,2.8284271247461903,3.1622776601683795
B3P3R1,A,1,0.9906574487686157,0.9677267074584961,0.9260663390159607,0.9309731125831604,0.9814878106117249,0.9374714493751526,0.8623124361038208,0.8708603978157043,5.0,2.8284271247461903,3.0,5.0
B3S2Z4,B,2,0.9472612738609314,0.5920180678367615,0.2691592872142792,0.46330782771110535,0.899806559085846,0.42047277092933655,0.15550783276557922,0.30149683356285095,8.0,17.204650534085253,15.905973720586866,22.891046284519195
