SubjectID,Centre,Dice_BG_ED,Dice_LV_ED,Dice_MYO_ED,Dice_RV_ED,Dice_BG_ES,Dice_LV_ES,Dice_MYO_ES,Dice_RV_ES,IoU_BG_ED,IoU_LV_ED,IoU_MYO_ED,IoU_RV_ED,IoU_BG_ES,IoU_LV_ES,IoU_MYO_ES,IoU_RV_ES
A4B5U4,0,0.0,0.187761347597251,0.10418455232767454,0.0,0.0,0.10360740697606709,0.05495500759612013,0.0,0.0,0.17844451441680537,0.11290119888405761,0.0,0.0,0.09796271144585751,0.059827921472523374,0.0
A4U9V5,0,0.0,0.07331695024026798,0.013524120026565235,0.0,0.0,0.038053456820212855,0.0068080967722326914,0.0,0.0,0.034452897200359545,0.04502180743797777,0.0,0.0,0.017528400693774433,0.023029314398119272,0.0
A6B5G9,0,0.0,0.04648697235442571,0.049563235852639574,0.0,0.0,0.0237966021708353,0.025411352351280305,0.0,0.0,0.026754742266207315,0.0577914782057561,0.0,0.0,0.013558751585159899,0.029755547644476087,0.0
A7M7P8,0,0.0,0.04715864655930127,0.18881148767041325,0.0,0.0,0.024148734087493975,0.10424728645587542,0.0,0.0,0.0,0.19649382977596525,0.0,0.0,0.0,0.10895101609303419,0.0
A7O4T6,0,0.0,0.07029748180552345,0.0757057037659066,0.0,0.0,0.036429180737815064,0.039342061094326954,0.0,0.0,0.03515821790745779,0.10953947368421052,0.0,0.0,0.017893663616016218,0.05794327475204455,0.0
B0I2Z0,0,0.0,0.04845511175426498,0.031407035175879394,0.0,0.0,0.024829104391148188,0.01595405232929164,0.0,0.0,0.01978207550962969,0.03561495394618024,0.0,0.0,0.009989847715736041,0.0181303324507208,0.0
B2C2Z7,0,0.0,0.07114556838192135,0.12073914603516325,0.0,0.0,0.036884882143355266,0.06424821002386635,0.0,0.0,0.02258925363942727,0.13301539578041574,0.0,0.0,0.011423652714036689,0.07124611283873834,0.0
B3F0V9,0,0.0,0.11836102624199556,0.10017814104579273,0.0,0.0,0.06290315405489567,0.052730281301709876,0.0,0.0,0.06960392718846235,0.07790684891348162,0.0,0.0,0.03605681143304818,0.04053229619461603,0.0
B3O1S0,0,0.0,0.07603305785123966,0.080419294079109,0.0,0.0,0.03951890034364261,0.04189419795221843,0.0,0.0,0.038937145786460854,0.03741721854304636,0.0,0.0,0.019855123818596897,0.01906529441538721,0.0
B3P3R1,0,0.0,0.0725063688026651,0.1348177520207412,0.0,0.0,0.03761691744611631,0.0722812755519215,0.0,0.0,0.0049382716049382715,0.18563173938759725,0.0,0.0,0.0024752475247524753,0.10231205175786148,0.0
B8J7R4,0,0.0,0.09195726143776685,0.09185378969551632,0.0,0.0,0.04819455014255046,0.048137710412064896,0.0,0.0,0.053898182425473874,0.10568725493722796,0.0,0.0,0.027695458654187214,0.05579187238890999,0.0
B9E0Q1,0,0.0,0.07722306151846256,0.06457359162769985,0.0,0.0,0.040162256979973686,0.033364012885411874,0.0,0.0,0.04166286900602562,0.03018468798307705,0.0,0.0,0.02127461525732252,0.015323613233654124,0.0
B9H8N8,0,0.0,0.06072130383427703,0.08225472068134701,0.0,0.0,0.0313112828776664,0.04289136913457605,0.0,0.0,0.029433502891178645,0.07416825598643781,0.0,0.0,0.014936569222283508,0.03851232394366197,0.0
C0K1P0,0,0.0,0.08183978040735358,0.048253550474310465,0.0,0.0,0.04266576877750788,0.024723267966511208,0.0,0.0,0.04774389240283101,0.06482102908277405,0.0,0.0,0.024455752612086358,0.033496141730007804,0.0
C1K8P5,0,0.0,0.07937876544816629,0.036017031915309194,0.0,0.0,0.04132973436935309,0.018338769989657094,0.0,0.0,0.03345235642839159,0.05891146293402188,0.0,0.0,0.017010702251604757,0.030349704204151645,0.0
