SubjectID,Centre,Dice_BG_ED,Dice_LV_ED,Dice_MYO_ED,Dice_RV_ED,Dice_BG_ES,Dice_LV_ES,Dice_MYO_ES,Dice_RV_ES,IoU_BG_ED,IoU_LV_ED,IoU_MYO_ED,IoU_RV_ED,IoU_BG_ES,IoU_LV_ES,IoU_MYO_ES,IoU_RV_ES
A4B5U4,0,0.993084719409798,0.9736824301468101,0.8690476190476191,0.8879909791392595,0.9862644241804561,0.9487145682267634,0.7684210526315789,0.7985465607571405,0.9932454963513272,0.970110648081621,0.8661113546690048,0.8335378323108384,0.9865816271510222,0.9419561880842752,0.7638416331580575,0.7145862552594671
A4U9V5,0,0.9961989194554416,0.9731905412204414,0.8693711967545639,0.9529276693455798,0.9924266259157715,0.9477810443791124,0.7689271618227485,0.9100877192982456,0.9968979406223608,0.9508512688724703,0.9037575757575758,0.9007305543618392,0.9938150672732866,0.906307409675444,0.8244139761167625,0.8193901485535575
A6B5G9,0,0.9909764169438268,0.8146984924623115,0.7715322846771532,0.9324680592171973,0.9821142276400672,0.6873343932167462,0.6280444126074498,0.8734802431610942,0.9971395804895442,0.9109603125642608,0.8598388952819332,0.899063475546306,0.9942954783042447,0.8364803625377644,0.7541380702462657,0.8166351606805293
A7M7P8,0,0.9921786199948895,0.9344611128843494,0.8598981731057203,0.9326220572886467,0.9844786384566067,0.8769845232151773,0.7542292739308606,0.8737505432420687,0.9929465115008469,0.850346174329842,0.8588471681527062,0.7550473467929247,0.9859918294714113,0.7396541074737493,0.752613623858259,0.6064867967853043
A7O4T6,0,0.9931220591514348,0.9494746600741656,0.8467360454115421,0.9214601769911505,0.9863380841519505,0.9038093837329019,0.734208367514356,0.8543589743589743,0.9926928786436139,0.8837035188420265,0.7506219642222486,0.890439863658497,0.9854917706795386,0.7916387212161861,0.6007965105253177,0.8025160912814512
B0I2Z0,0,0.9953217475072388,0.9506861063464837,0.8107416879795396,0.9326676561867494,0.9906870632838848,0.9060073559460564,0.6817204301075269,0.8738305941845765,0.9959674083325994,0.9152542372881356,0.8416200197563385,0.8658840270366418,0.991967209628716,0.84375,0.7265491756679932,0.7634880803011292
B2C2Z7,0,0.9963340087772493,0.9513149423010252,0.8361447691454819,0.9535739794516784,0.9926947983595927,0.9071502786436195,0.7184267827980403,0.9112674577339074,0.9961969794539689,0.9365477338476375,0.8335491582826975,0.8877845144617831,0.9924227752493464,0.8806673920928546,0.714602903501281,0.7982126899016979
B3F0V9,0,0.9955192266775907,0.9576127819548872,0.8269822940723633,0.9337657657657658,0.9910784288929917,0.9186727977639527,0.7050041017227235,0.8757604434230093,0.9935748263752471,0.941996693739668,0.7711947626841243,0.8173966687230105,0.9872316913504618,0.8903532608695652,0.6275972296217368,0.6911841418883672
B3O1S0,0,0.9954939319743207,0.9581945985941547,0.8680859733116023,0.9566522366522366,0.9910282910793445,0.9197443181818182,0.7669186465082793,0.9169063952201815,0.9971045245878319,0.9198767334360555,0.8593350383631714,0.9483421432003845,0.994225768321513,0.8516405135520685,0.7533632286995515,0.9017591957962074
B3P3R1,0,0.9931188417214235,0.9663133097762073,0.896874604580539,0.9358407079646017,0.986331736924463,0.9348222424794895,0.813030511585226,0.8794178794178794,0.9957971451272638,0.8949545078577337,0.9053125,0.9038715769593957,0.9916294703757462,0.8098802395209581,0.8270054239223523,0.8246037215713301
