SubjectID,Centre,Dice_BG_ED,Dice_LV_ED,Dice_MYO_ED,Dice_RV_ED,Dice_BG_ES,Dice_LV_ES,Dice_MYO_ES,Dice_RV_ES,IoU_BG_ED,IoU_LV_ED,IoU_MYO_ED,IoU_RV_ED,IoU_BG_ES,IoU_LV_ES,IoU_MYO_ES,IoU_RV_ES
A1D9Z7,0,0.9935555075959775,0.9114320904713917,0.8599932930918847,0.9160674095624965,0.9871935462856398,0.8372762806006995,0.7543756434769819,0.8451331915324622,0.9928906766905401,0.8638098542678695,0.845608292416803,0.8869379341934499,0.9858817247643028,0.7602687433195908,0.7325141776937618,0.7968449931412894
A2C0I1,0,0.9968017179343667,0.9682497331910352,0.8891233454824478,0.9608177172061328,0.9936238286631673,0.9384535815877941,0.8003798998445865,0.9245901639344263,0.997042363946038,0.9205577172503242,0.8641497257179735,0.9355043887546114,0.994102171522222,0.8528086512466206,0.7607954545454545,0.8788240917782026
A2L1N6,0,0.9962329414384209,0.9601730041448909,0.8648936170212767,0.9329608938547486,0.9924941578238732,0.9233968804159446,0.7619493908153702,0.8743455497382199,0.9971057127776402,0.944719786504003,0.8464756327128216,0.9282823377043873,0.9942281310019705,0.8952312138728323,0.7338168631006347,0.8661631419939577
A4B5U4,0,0.992905009016387,0.9747558092859373,0.8563179501060134,0.8909935004642525,0.9859099865511526,0.9507547744377257,0.7487377721678763,0.803415941058272,0.9935483204721421,0.9720773243326174,0.8526398014979553,0.8487845076225793,0.9871793556330802,0.9456716417910448,0.7431317581097316,0.737294201861131
A4J4S4,0,0.9946835490597584,0.9644147901028635,0.8418286915396742,0.9414301532723353,0.9894233284747916,0.9312751677852349,0.7268602540834845,0.8893415547236292,0.9969501044161544,0.9181850660950339,0.8577645442052222,0.9258110014104373,0.9939187559915544,0.8487450462351387,0.7509524764387407,0.8618697478991597
A6B5G9,0,0.996492645473329,0.9417915650052283,0.8494245911568746,0.9313696022442641,0.9930098080281131,0.8899868247694335,0.7382606864603074,0.8715544721545097,0.997063177562145,0.9002837454398054,0.8377132893261926,0.8923923923923924,0.9941435544649435,0.8186509399189089,0.7207458208315474,0.8056936285585179
A6D5F9,0,0.9950534740813693,0.9763952661191231,0.8788849347568208,0.9533900693231133,0.9901556435271838,0.9538792014152135,0.7839382075970797,0.9109316101238557,0.9954600753686834,0.9712602439669171,0.8771480804387568,0.9413759689922481,0.9909611862704555,0.9441262848751836,0.7811787691305764,0.8892448512585812
A7O4T6,0,0.9950744270660519,0.9562779419565053,0.8532565528196981,0.9464680725556702,0.9901971388397102,0.9162189632641208,0.7440692640692641,0.8983762597984323,0.9955523077726101,0.9255754176889823,0.7850138295197385,0.9333543406333701,0.9911440042885118,0.8614615050021749,0.6461092715231788,0.8750369276218611
B0H7V0,0,0.9962115431469091,0.9738888139858882,0.8970104223806912,0.9560270995781669,0.9924516827679652,0.9491065171688857,0.8132537610344399,0.915758540467736,0.9974011238797618,0.9539887912544108,0.8879800045444217,0.9464668094218416,0.9948157210582658,0.9120254001852097,0.7985288107887208,0.8983739837398373
B2C2Z7,0,0.9965681315641084,0.9656409013811486,0.8516300731869594,0.958291956305859,0.9931597380074422,0.9335644677661169,0.7415990730011588,0.9199237368922784,0.9971964623568352,0.9426944971537002,0.8428482457961387,0.9307309605817069,0.9944086004128909,0.8916008614501076,0.7283817725152494,0.870436649964209
