SubjectID,Centre,Dice_BG_ED,Dice_LV_ED,Dice_MYO_ED,Dice_RV_ED,Dice_BG_ES,Dice_LV_ES,Dice_MYO_ES,Dice_RV_ES,IoU_BG_ED,IoU_LV_ED,IoU_MYO_ED,IoU_RV_ED,IoU_BG_ES,IoU_LV_ES,IoU_MYO_ES,IoU_RV_ES
A1D9Z7,0,0.9864828288077606,0.8729768372891049,0.7794612794612794,0.8531358144617813,0.9733262117772733,0.7745864203795798,0.6386206896551724,0.7438856537850714,0.9853412254441933,0.7870877925693901,0.7478324358857351,0.7510586539327867,0.971106001498437,0.6489239598278336,0.5972303206997085,0.601356225652864
A2C0I1,0,0.9909174854842722,0.9545395336720073,0.8151818101389012,0.8609089824645115,0.9819984701249398,0.9130326439073013,0.6880227001194743,0.755785946172374,0.9914738453714774,0.8326898326898327,0.809035724947756,0.7430144528561596,0.9830918522253633,0.7133406835722161,0.6793114973262032,0.5911081909767849
A2L1N6,0,0.9949498736821963,0.9545399879735418,0.8510013812154696,0.9001538879333756,0.9899504986158136,0.913033475209939,0.7406461307287754,0.8184362139917696,0.9963477868790862,0.9458490566037736,0.8373266078184111,0.8719522591645353,0.9927221540028153,0.8972614999105065,0.720173535791757,0.7729746070133011
A4B5U4,0,0.9873383381764494,0.9656994447429698,0.8184590903063255,0.6975194372454646,0.9749933026974674,0.9336739111611395,0.6927048260381594,0.5355315520181921,0.9882766434665988,0.9617384220992358,0.8136077503459976,0.6562789834910036,0.9768249760021941,0.9262968432711833,0.6857830962595017,0.4884041965764771
A4J4S4,0,0.9854745548378276,0.8907441016333938,0.7166833166833166,0.8502767652220872,0.9713650451421642,0.8030104712041884,0.5584617779853651,0.7395490840770315,0.9948355017131235,0.9009803921568628,0.7788893425888117,0.7944417824628653,0.9897240734314066,0.8198037466547725,0.6378532018057181,0.6589825119236884
A6B5G9,0,0.9905676170403119,0.8274619695756605,0.7821698906644239,0.903205059491907,0.981311511065195,0.705701604643223,0.6422651933701657,0.8234949179046129,0.995090920193602,0.9164952694364459,0.8409219938685136,0.6611456176673568,0.9902298030636886,0.8458618071374335,0.7255094043887147,0.49381443298969074
A6D5F9,0,0.9933652926389784,0.9693334188747033,0.847305885603758,0.9323035515768533,0.9868180437004502,0.9404917522564581,0.735065682232237,0.8731915826391934,0.9945847155421097,0.9669633428873133,0.8598388952819332,0.9216152019002375,0.9892277657966775,0.9360397196261683,0.7541380702462657,0.8546255506607929
A7O4T6,0,0.9849311744089577,0.9272169328822094,0.8437437637198164,0.7474396375147415,0.9703097460760493,0.8643098137010415,0.7297204004142216,0.5967294350842418,0.9821292426151326,0.7728401876897598,0.6230737192836319,0.5789177635279559,0.9648859990225452,0.6297795771479981,0.45251058681185724,0.40737808739708675
B0H7V0,0,0.9900472429182305,0.9659583985685529,0.8504287490999541,0.8257547659669164,0.9802906482268979,0.9341581588510123,0.7397790684432297,0.7032217308907138,0.9955860515131343,0.952243325075695,0.8530973451327434,0.9132947976878613,0.9912108976711937,0.9088401418626034,0.7438271604938271,0.8404255319148937
B2C2Z7,0,0.9924209286675639,0.9101870459112691,0.7965548958943055,0.9320767727847374,0.9849558778103372,0.835177304964539,0.6618954974986103,0.8727938011192423,0.9957087110329486,0.9388492629576795,0.8144098408669335,0.8846770958684316,0.9914540950136783,0.8847463703172611,0.6869235836627141,0.793202661391836
