SubjectID,Centre,Dice_BG_ED,Dice_LV_ED,Dice_MYO_ED,Dice_RV_ED,Dice_BG_ES,Dice_LV_ES,Dice_MYO_ES,Dice_RV_ES,IoU_BG_ED,IoU_LV_ED,IoU_MYO_ED,IoU_RV_ED,IoU_BG_ES,IoU_LV_ES,IoU_MYO_ES,IoU_RV_ES
A1D9Z7,0,0.988908523312312,0.8241924542086312,0.74755008238661,0.8932016797185337,0.9780603893051827,0.7009586366057163,0.5968702395790056,0.80701394585726,0.9905532920985413,0.8026043661432402,0.7554587177228687,0.8561743341404359,0.9812833945021279,0.6702917093142272,0.607017805259629,0.7485182049110923
A2C0I1,0,0.9935724048012535,0.9503491575373182,0.8149691917361362,0.9257828747994533,0.9872269098553936,0.9053955078125,0.6877198348371311,0.8618209978979976,0.9939227221016734,0.8219415123723828,0.829209656415907,0.9121429538378232,0.9879188646203763,0.6977085781433607,0.7082477754962354,0.8384768541562967
A2L1N6,0,0.9937950661185728,0.9229173867957138,0.8101863563538241,0.9012334399269073,0.9876666597976385,0.8568677792041078,0.6809355067328136,0.8202228504906037,0.994781015411649,0.8758582297272222,0.8114600767943291,0.8690948431301839,0.9896162235923384,0.7791350280620667,0.6827369118621603,0.7684948979591837
A4B5U4,0,0.989403287335751,0.9633804071813605,0.8539809406701506,0.7489036320701675,0.9790288004473856,0.9293480596501783,0.7451716738197425,0.5985978788423513,0.9905343574453598,0.9623886506103596,0.8274059967226184,0.7483806676631789,0.9812462313612068,0.9275039745627981,0.7056201843178728,0.5979299363057324
A4J4S4,0,0.9865964696506674,0.8951848723113912,0.7406007935008502,0.9039426068186147,0.9735474962383203,0.8102576167509705,0.588058805880588,0.8247219647822057,0.9937862505650877,0.910861171730737,0.7928404352689922,0.7964601769911505,0.9876492456232051,0.8363131935881628,0.6567818028643639,0.6617647058823529
A6B5G9,0,0.9891949733852823,0.8213758488337762,0.7671941255559003,0.8660094107102846,0.9786209479964604,0.6968937875751503,0.6223154362416108,0.7636830665876309,0.9950138887410734,0.8882823162409826,0.7998237303073703,0.7473152242577384,0.9900772534006852,0.7990178884601894,0.6664218836056545,0.5965708522440747
A6D5F9,0,0.9934956183057448,0.9626159349181729,0.8391530872408823,0.934027572332998,0.9870753037690582,0.9279262785304528,0.7228800611153552,0.8762211367673179,0.99446919400532,0.9627887881162991,0.8592915781617774,0.9170888213441405,0.9889992311290574,0.9282475710687298,0.7532964267740312,0.8468735381256822
A7O4T6,0,0.981167178290247,0.889708768349164,0.7765386204047914,0.699501246882793,0.9630305947973904,0.801329185520362,0.6347062795408508,0.5378715244487057,0.9814986073929856,0.7493337073923412,0.6048119867454257,0.5949014567266495,0.9636693818166371,0.5991475998205473,0.43349855431639817,0.4233877115413935
B0H7V0,0,0.9885345888395485,0.9355079135428997,0.7915887247629491,0.8504187120993358,0.9773291087684406,0.8788303130148271,0.6550656560264759,0.7397638784225069,0.9936748019860201,0.904782116581777,0.8384054864980711,0.9267421083978559,0.9874291172943639,0.8261206562459631,0.7217712177121771,0.8634850166481687
B2C2Z7,0,0.9935879083866622,0.9200563834071688,0.8426150121065376,0.9415752283564084,0.98725752270512,0.8519485362670147,0.7280334728033473,0.8896005210594876,0.9954240495441252,0.9427597013549636,0.8275109170305677,0.8431626701231367,0.9908897869717104,0.8917175239755885,0.7057728119180633,0.7288515406162465
