SubjectID,Centre,Dice_BG_ED,Dice_LV_ED,Dice_MYO_ED,Dice_RV_ED,Dice_BG_ES,Dice_LV_ES,Dice_MYO_ES,Dice_RV_ES,IoU_BG_ED,IoU_LV_ED,IoU_MYO_ED,IoU_RV_ED,IoU_BG_ES,IoU_LV_ES,IoU_MYO_ES,IoU_RV_ES
A1D9Z7,0,0.9869691526280461,0.8377827811729388,0.6904074110967228,0.8250427926759687,0.9742735427933729,0.7208487084870848,0.5271925154027535,0.7021896521278475,0.9833678091696997,0.8076723691031623,0.6012675977340288,0.6951128075795787,0.9672798265089038,0.6773913043478261,0.4298660678482637,0.5326995403259507
A2C0I1,0,0.9932544547398432,0.9593291958272812,0.8463757327626314,0.9061726905207265,0.9865993044778486,0.9218373302880345,0.7336667204387805,0.828442188879082,0.9932693862154444,0.8065872459705676,0.7965263273606683,0.8700316325127218,0.9866287690224228,0.6758661186142102,0.6618560467665326,0.7699610516066212
A2L1N6,0,0.9942929547599654,0.9388267655325001,0.8237561317449195,0.8955974842767296,0.9886506805991947,0.884706412712724,0.700327673518022,0.8109339407744874,0.9962216183484218,0.9302714763852733,0.8388017118402282,0.8562023562023562,0.9924716815571155,0.8696332348339997,0.7223587223587223,0.748561042108452
A4B5U4,0,0.9728397351198065,0.8459443930953511,0.7708421003413288,0.688098645821865,0.9471158186140283,0.7330187454002338,0.6271302495435179,0.5245048674051696,0.9786177522973083,0.8927941063617527,0.7300450166997434,0.539665211062591,0.9581307629914559,0.8063487662877737,0.5748589724043299,0.36954896586095193
A4J4S4,0,0.9714602841706986,0.8800903380619662,0.5585709378220542,0.5142055419151175,0.9445043970785512,0.7858583312326696,0.3875119161105815,0.34608120868744097,0.9934798144820467,0.8958957195701955,0.8117231155205838,0.7691021568299615,0.9870441038107983,0.8114231014677729,0.6831094049904031,0.6248302091822874
A6B5G9,0,0.9883027617335949,0.8110765526236581,0.7639052620297931,0.8409162883986065,0.9768760102845612,0.6821940928270043,0.6179989595977111,0.7255009107468123,0.99584425378465,0.8824607863108576,0.8227832954409477,0.7850133809099019,0.9917229050752079,0.7896463725847612,0.6989225452327709,0.6461086637298091
A6D5F9,0,0.9869143842597949,0.9568609302171829,0.8388765261321947,0.8090863952333665,0.9741668116950922,0.9172898973253898,0.7224696985393142,0.6793829476756306,0.9890065703233692,0.917995991983968,0.8185376941533021,0.8640065816536405,0.9782522233005075,0.8484219884427323,0.6928174433518598,0.7605735805330244
A7O4T6,0,0.9762548219251816,0.8765036086607859,0.701247537754432,0.6111111111111112,0.9536111552301095,0.7801570306923626,0.5399393326592518,0.44,0.9758373810561195,0.742217367558711,0.5024568077349818,0.35680267730724674,0.9528148782294025,0.5900998697351281,0.3355207451312447,0.21713927620241266
B0H7V0,0,0.9888518082799133,0.9631043821870976,0.8369989722507708,0.7880345541514957,0.9779494404254983,0.9288344609060546,0.719688936019795,0.6502120640904807,0.9955765441847272,0.9516518380577971,0.844738997691563,0.8789544036833506,0.9911920499473355,0.9077631578947368,0.7312105195307465,0.78404875463699
B2C2Z7,0,0.9919763469174767,0.9143003851091143,0.8105906313645621,0.8843683083511777,0.9840804269661985,0.8421301551267499,0.6815068493150684,0.7927063339731286,0.994071636910469,0.9309188464118041,0.8031859149025361,0.758938610299078,0.9882131505441937,0.8707653701380176,0.6711033274956217,0.6115238267802138
B3F0V9,0,0.9833439519432056,0.8933609359202734,0.7244897959183674,0.8029573018773882,0.9672336615935542,0.8072739928652223,0.568,0.6707841776544067,0.9875979269615524,0.8714873943509355,0.6951469583048531,0.7334790650748276,0.9754997083298611,0.7722442709000128,0.532739654269251,0.5791290493892725
B3O1S0,0,0.9805372613256051,0.8905414826864978,0.7655011655011655,0.6992924528301887,0.9618176556414368,0.802681189777964,0.6200906344410876,0.5376246600181324,0.9908932502913924,0.7353306151391598,0.7337736932797243,0.8899320568252007,0.9819508694967362,0.5814409868236613,0.5794964844635971,0.8016915201424438
B3P3R1,0,0.9835056782278496,0.9579638373833929,0.8379113407669295,0.798220640569395,0.9675466524133765,0.9193191865605659,0.7210390826117482,0.6641989931892212,0.9875020359411477,0.8775834658187599,0.7706079820962327,0.6845814977973568,0.9753126139459065,0.7818696883852692,0.6268203883495146,0.5204286671131949
B4O3V3,0,0.983369108198043,0.9295312598574222,0.8089063191852742,0.7567445023804126,0.9672823402553132,0.8683404054691184,0.6791290493892724,0.6086797957695113,0.9888800163665041,0.8747447243022465,0.7727435401903944,0.6404188481675392,0.9780046209876382,0.7773744706594071,0.6296512306077219,0.47104128157732594
B8H5H6,0,0.991383169853886,0.9458084099633961,0.7898178124801625,0.8732292700532347,0.9829135705679912,0.8971883468834688,0.6526437263953,0.7749839846252402,0.9928434708030648,0.9354286051869793,0.7828759291023442,0.8488840821944745,0.9857886455789717,0.8786903440621532,0.6432178508514387,0.737444482405193
B8J7R4,0,0.9918812300680763,0.9629711506576766,0.832639738882089,0.8514719988194496,0.9838932273179043,0.9285866552973779,0.7132671606319027,0.7413593729924194,0.9948440022403058,0.9599712152559143,0.8688508557457213,0.8104215763288819,0.9897409003752929,0.9230236983220896,0.7681134359329068,0.6812678846577152
B9E0Q1,0,0.9869556091392647,0.9232493735988395,0.8042211055276381,0.6500686139972555,0.9742471485387683,0.8574402939375383,0.6725500084047739,0.4815567818762707,0.9898089928217711,0.8587142507944268,0.7050734945471787,0.5963050314465409,0.9798236034456584,0.7524095095309488,0.5444891980959355,0.42481097731727807
B9H8N8,0,0.9927671831380279,0.9605044805841354,0.798529225307468,0.8619426751592356,0.9856382422397516,0.9240102171136654,0.6646264246517518,0.757380719182874,0.9927755344956886,0.8167827042872847,0.6692483717655342,0.847926267281106,0.9856547060725055,0.6903065964694952,0.5029100529100529,0.736
C0K1P0,0,0.9943658346901209,0.9311217692512657,0.8145748987854251,0.915550015581178,0.9887948013219241,0.8711205284806183,0.6871584699453552,0.8442528735632184,0.996354339794989,0.9247596950613192,0.824375,0.8752204585537919,0.9927351647108875,0.8600493218249076,0.7012227538543327,0.7781262250098001
C1K8P5,0,0.9872881594267298,0.879464921018927,0.7908101571946796,0.8251149022357248,0.9748954439674085,0.7848615697231395,0.654,0.7022941254475534,0.9955014681962391,0.9227287423213708,0.8509949097639982,0.7965635738831615,0.9910432287129718,0.8565426170468188,0.7406363270237616,0.6619074814391777
C2J0K3,0,0.9764689833918767,0.8990639449644751,0.7498917949669202,0.37885106955468856,0.954019924699297,0.8166359352591682,0.5998615095459492,0.2336929460580913,0.9839791468518818,0.776707530647986,0.7408018867924528,0.472082329756952,0.9684635347818346,0.6349319971367215,0.5883124180558157,0.30897105187732876
