External code,Vendor,Centre,Dice_BG,Dice_LV,Dice_MYO,Dice_RV,IoU_BG,IoU_LV,IoU_MYO,IoU_RV,HD_BG,HD_LV,HD_MYO,HD_RV
A0S9V9,F,6,0.9933770895004272,0.9637318253517151,0.8722625374794006,0.9337199926376343,0.9868413805961609,0.9300023317337036,0.7734624147415161,0.8756799697875977,3.0,3.1622776601683795,3.605551275463989,6.082762530298219
A1D0Q7,B,2,0.9795504212379456,0.8489869832992554,0.7393124103546143,0.8244900703430176,0.9599204659461975,0.737599790096283,0.586435854434967,0.7013892531394958,9.0,9.055385138137417,9.219544457292887,15.684387141358123
A1D9Z7,A,1,0.9634841084480286,0.7999045848846436,0.6685120463371277,0.7618298530578613,0.9295411109924316,0.6665341854095459,0.5020789504051208,0.6152868270874023,5.0,29.8496231131986,13.152946437965905,36.40054944640259
A1E9Q1,A,1,0.9876732230186462,0.9454267621040344,0.8265082836151123,0.8968132734298706,0.9756466150283813,0.8965017199516296,0.7043153643608093,0.8129296898841858,3.605551275463989,5.0990195135927845,5.830951894845301,9.055385138137417
A1K2P5,D,5,0.989154577255249,0.934878408908844,0.8299663066864014,0.9254723787307739,0.9785418510437012,0.8777198791503906,0.7093524932861328,0.861283004283905,4.0,7.0710678118654755,7.14142842854285,7.14142842854285
A1O8Z3,B,3,0.98152095079422,0.9527053236961365,0.8000771403312683,0.8535007834434509,0.9637123942375183,0.9096821546554565,0.666773796081543,0.7444407939910889,4.0,3.1622776601683795,5.385164807134504,8.0
A2C0I1,F,6,0.995329737663269,0.9676432013511658,0.9042258858680725,0.9592954516410828,0.9907028675079346,0.9373147487640381,0.8251936435699463,0.9217749834060669,4.0,2.0,3.0,3.605551275463989
A2E3W4,C,4,,,,,,,,,,,,
A2H5K9,B,2,0.9773111939430237,0.8583093881607056,0.8085334300994873,0.8656147122383118,0.9556291699409485,0.7517880797386169,0.6786035299301147,0.7630694508552551,4.0,9.0,23.68543856465402,6.0
A2L1N6,F,6,0.995578408241272,0.9714465141296387,0.9153309464454651,0.9465619325637817,0.991195797920227,0.9444783926010132,0.8438804149627686,0.8985454440116882,3.0,2.23606797749979,2.8284271247461903,5.0
A2N8V0,F,6,0.9950114488601685,0.9672410488128662,0.8936934471130371,0.9524452686309814,0.9900724291801453,0.9365603923797607,0.8078172206878662,0.9092081189155579,3.0,2.449489742783178,2.449489742783178,7.0710678118654755
A3B7E5,B,2,0.988099992275238,0.9006057381629944,0.8373599052429199,0.9400171637535095,0.9764798879623413,0.8191835284233093,0.7202228307723999,0.8868229985237122,5.0,13.416407864998739,12.409673645990857,6.4031242374328485
A3H1O5,A,1,0.9849565625190735,0.8917967081069946,0.8137241005897522,0.9410082697868347,0.9703590273857117,0.8047230839729309,0.6859484910964966,0.8885889053344727,3.0,7.0,8.602325267042627,3.605551275463989
A3H5R1,C,4,0.9854649305343628,0.8772470355033875,0.7620018124580383,0.7759045362472534,0.9713463187217712,0.7813357710838318,0.6155112385749817,0.6338595151901245,3.0,10.0,5.385164807134504,9.273618495495704
