Model,Centre,Dice_LV_ED,Dice_MYO_ED,Dice_RV_ED,Dice_LV_ES,Dice_MYO_ES,Dice_RV_ES
DiceLoss,0,0.9538193155340741,0.860276932420251,0.9288152464519404,0.9128579309579758,0.7562972264388075,0.8688316915375023
DiceLoss_modified,0,0.07980022029864137,0.0906901702107623,0.0,0.04176803132161565,0.04806598196272942,0.0
all_transforms,0,0.9139360615629877,0.806758648172099,0.8580578269105686,0.8443586830406982,0.6779135000504916,0.7558396209613628
benchmark,0,0.9415246104698384,0.8507398945843896,0.9305659674690364,0.8924184482250549,0.7415963635721597,0.8708716114054115
improved_transforms,0,0.9528757275767437,0.858277116564564,0.9313460009526573,0.9110037784951285,0.7529409619005808,0.8725653266924387
intensity_w_bias,0,0.9419011932626269,0.8280142064917309,0.9093879915197701,0.89168372888553,0.7082883832933133,0.8355153465357408
intensity_w_bias_gamma,0,0.9622494353232882,0.8621177712437444,0.9410081737926668,0.9274767417840257,0.7583021325056374,0.8890519921119971
simple_intensity,0,0.9595755658167404,0.8613547703299459,0.940177107457445,0.9230855950509725,0.7572582917569457,0.8874570221801
simple_spatial,0,0.9289124455113669,0.8066037786876412,0.8893397430182153,0.8700714211000193,0.6786725507428709,0.8055979297865231
simple_spatial_bigger_batch,0,0.9357045187299187,0.8362650584032834,0.8939287779361991,0.8806256979698757,0.7201780328899645,0.8112985941883767
simple_spatial_intensity,0,0.9258915850262195,0.7952897628023605,0.8734362861708403,0.8643376530396845,0.6616844811060674,0.7806098174360059
simple_spatial_lower_lr,0,0.9420893934408172,0.8400727606612478,0.9057547101365623,0.892195639023351,0.726362676090781,0.830971842746749
simple_spatial_smaller_batch,0,0.9341322817772711,0.8272890737774388,0.9056711604925144,0.8782579723742676,0.7072300499269379,0.8302268169692553
simple_spatial_with_blur,0,0.9279897905508288,0.8097928916549165,0.8768444201066203,0.8680318287541342,0.6823592100052678,0.7848449151918528
simple_spatial_with_gaussian_smooth,0,0.921259993380692,0.8080734547767873,0.890451058640901,0.8562264930771424,0.6798632423378903,0.8061576738681425
spatial_w_T00_R02,0,0.9413421974189787,0.8411057817943126,0.9152472727033781,0.8911939285640337,0.727447986254506,0.8455638646551872
spatial_w_T00_R03,0,0.9169572240001124,0.7865934427179706,0.8676371853159209,0.8489321904342523,0.6503375584681825,0.7734553829844161
spatial_w_T05_R01,0,0.9407961262451552,0.8367831361236463,0.907431714036173,0.8895537447835059,0.7212775974118809,0.8331349539081373
spatial_w_T10_R02,0,0.9286194938023218,0.8163924243072384,0.7985236469391684,0.8689082626542006,0.6922713985133402,0.6818608159955083
spatial_w_T15_R03,0,0.9042364937219155,0.7876783007105106,0.8783014959651864,0.8282485905111816,0.6524719979507314,0.789429375468568
spatial_w_elastic,0,0.9114203917272261,0.8057508844854626,0.8465963458899386,0.8399655243868199,0.677075274844935,0.7442700771701183
DiceLoss,1,0.9419928120053176,0.8371795267044375,0.904196720282288,0.8918868310889408,0.7234578846159619,0.8276844070242808
DiceLoss_modified,1,0.08735893089097511,0.09938944740837155,0.0,0.04587499091766314,0.052809665908145585,0.0
all_transforms,1,0.9151524233755337,0.802585183524599,0.8580843401396566,0.8456396825050766,0.6717937173646502,0.7566150331270882
benchmark,1,0.9316838122497902,0.8192646058122403,0.8875042557989454,0.8735432888378122,0.6968588604155291,0.8025678139856418
improved_transforms,1,0.936390904287333,0.8340454299559403,0.904265236129941,0.8822770049471552,0.7180067754441466,0.8272385675247187
intensity_w_bias,1,0.9121778649142972,0.7889603008009057,0.8535728029606564,0.8408306517218547,0.6561773145981404,0.7500200094375068
intensity_w_bias_gamma,1,0.9267046584897481,0.809810937512905,0.8852026415250991,0.8662727714439064,0.6850150749478302,0.7992548136303905
simple_intensity,1,0.9223883684534478,0.7987053986991357,0.8851546951056714,0.8588344316370516,0.6687991107436363,0.7983735200115554
simple_spatial,1,0.9122218721704036,0.7893958790852257,0.8798720033189933,0.8414253809481819,0.6557487933048167,0.7900077426653364
simple_spatial_bigger_batch,1,0.9307248417019475,0.8323159432651661,0.8751013186503804,0.8719169716468557,0.7149324376002082,0.7819900444696254
simple_spatial_intensity,1,0.9229564891701952,0.7888012017170862,0.8586760656967193,0.8583890737789908,0.6533445646634659,0.7564521153037681
simple_spatial_lower_lr,1,0.9361139410707269,0.8194801349408599,0.8779134035750922,0.8820319875975658,0.6977431400136177,0.7883396224168752
simple_spatial_smaller_batch,1,0.9282066672045347,0.8176108682999259,0.8834988495818635,0.8675255702931387,0.6938201809533033,0.7949442765418043
simple_spatial_with_blur,1,0.9210190231285685,0.798994936105111,0.8568730258385018,0.8557894303263127,0.6675657334043185,0.7564552134527183
simple_spatial_with_gaussian_smooth,1,0.9062222950303509,0.7976906882251903,0.8644065541740001,0.8313145060798881,0.6653595702630377,0.7648575572622837
spatial_w_T00_R02,1,0.9321676243709213,0.833067739427011,0.8983259438888119,0.8748812934729204,0.7160163802371994,0.8184694727869416
spatial_w_T00_R03,1,0.9132959878326995,0.7779929636848407,0.858707292730866,0.8418196008717256,0.6384547184086234,0.7580375166908856
spatial_w_T05_R01,1,0.9316464077423942,0.8178753130212233,0.879593982921599,0.8748176073087881,0.696166330944415,0.789877006523534
spatial_w_T10_R02,1,0.9291511913125445,0.8097827455544432,0.7852796358510494,0.8694877886422843,0.6838098859414784,0.6638585208230292
spatial_w_T15_R03,1,0.9033780780656653,0.7882100898007214,0.8594628945142574,0.8261065305526275,0.6529367302494888,0.7611520323750638
